transport_km_per_week,vehicle_type,electricity_kwh_per_month,diet_type,food_kg_per_week,shopping_spend_usd_per_month,gadgets_usage_hours_per_day,transport_co2,electricity_co2,food_co2,shopping_co2,gadgets_co2,total_co2_per_week
102,car_diesel,553,vegan,9.87,313,7.35,17.442,65.66875,19.74,1.565,2.5725,106.98825
270,car_diesel,490,vegetarian,6.64,565,9.12,46.17,58.1875,19.919999999999998,2.825,3.1919999999999997,130.2945
106,train,243,high_meat,8.94,11,9.87,4.346,28.85625,67.05,0.055,3.4545,103.76175
71,car_petrol,441,mixed,12.16,208,10.28,13.632,52.36875,60.8,1.04,3.598,131.43875
188,car_petrol,75,mixed,11.17,973,3.79,36.096000000000004,8.90625,55.85,4.865,1.3265,107.04374999999999
20,car_diesel,484,vegetarian,7.8,13,1.34,3.4200000000000004,57.474999999999994,23.4,0.065,0.46900000000000003,84.82899999999998
102,bus,222,high_meat,13.23,632,9.13,10.709999999999999,26.362499999999997,99.22500000000001,3.16,3.1955000000000005,142.65300000000002
121,car_diesel,349,mixed,9.26,417,2.17,20.691000000000003,41.44375,46.3,2.085,0.7595,111.27925
214,car_petrol,375,vegan,9.02,436,4.46,41.088,44.53125,18.04,2.18,1.561,107.40025
87,train,459,mixed,2.44,376,1.04,3.567,54.506249999999994,12.2,1.8800000000000001,0.36400000000000005,72.51724999999999
99,car_diesel,167,vegan,14.83,19,8.5,16.929000000000002,19.83125,29.66,0.095,2.9750000000000005,69.49024999999999
151,car_petrol,274,vegetarian,3.6,586,2.84,28.992,32.5375,10.8,2.93,0.9939999999999999,76.2535
130,car_diesel,581,vegan,5.0,911,8.21,22.23,68.99374999999999,10.0,4.555,2.873500000000001,108.65225000000001
149,bus,162,mixed,2.67,754,11.91,15.645,19.2375,13.35,3.77,4.1685,56.17100000000001
257,car_diesel,189,mixed,10.32,734,1.8,43.947,22.443749999999998,51.6,3.67,0.6300000000000001,122.29074999999999
293,car_diesel,50,mixed,4.92,69,1.85,50.103,5.9375,24.6,0.34500000000000003,0.6475000000000001,81.633
191,car_petrol,139,vegetarian,4.34,823,4.74,36.672000000000004,16.506249999999998,13.02,4.115,1.659,71.97225
276,car_petrol,369,vegetarian,3.15,210,10.53,52.992000000000004,43.81875,9.45,1.05,3.6854999999999998,110.99625000000002
160,car_petrol,599,high_meat,3.34,100,3.37,30.72,71.13125,25.049999999999997,0.5,1.1795,128.58075
21,car_diesel,188,mixed,9.6,697,4.96,3.591,22.325,48.0,3.485,1.736,79.137
252,bus,560,vegan,10.95,131,1.75,26.459999999999997,66.5,21.9,0.655,0.6125,116.12749999999998
235,train,308,vegetarian,7.17,622,9.39,9.635,36.574999999999996,21.509999999999998,3.11,3.2865,74.1165
48,train,59,mixed,8.24,380,5.49,1.968,7.00625,41.2,1.9000000000000001,1.9215000000000002,53.99575
58,car_petrol,310,mixed,10.92,131,9.35,11.136000000000001,36.8125,54.6,0.655,3.2725,106.476
169,car_petrol,221,vegetarian,2.23,19,10.94,32.448,26.24375,6.6899999999999995,0.095,3.829,69.30574999999999
187,car_diesel,62,high_meat,6.2,905,3.56,31.977000000000004,7.3625,46.5,4.525,1.2460000000000002,91.6105
270,train,217,vegetarian,14.65,535,9.88,11.07,25.768749999999997,43.95,2.6750000000000003,3.458,86.92174999999999
189,car_petrol,370,vegetarian,9.54,226,1.65,36.288000000000004,43.9375,28.619999999999997,1.1300000000000001,0.5775,110.55300000000001
174,bus,368,vegan,5.3,153,10.89,18.27,43.699999999999996,10.6,0.765,3.8115000000000006,77.14649999999999
50,bus,378,vegan,8.78,804,8.16,5.25,44.887499999999996,17.56,4.0200000000000005,2.8560000000000003,74.57349999999998
54,car_petrol,599,high_meat,6.45,741,10.62,10.368,71.13125,48.375,3.705,3.717,137.29625000000001
243,car_petrol,468,mixed,8.92,468,1.0,46.656,55.574999999999996,44.6,2.34,0.35000000000000003,149.521
130,train,144,vegetarian,3.63,821,2.86,5.33,17.099999999999998,10.89,4.105,1.001,38.425999999999995
134,train,367,high_meat,3.73,999,5.29,5.494000000000001,43.58125,27.975,4.995,1.8515000000000001,83.89675000000001
20,car_diesel,285,vegan,3.87,870,5.17,3.4200000000000004,33.84375,7.74,4.3500000000000005,1.8095,51.163250000000005
166,train,383,vegetarian,14.22,404,3.49,6.806,45.481249999999996,42.660000000000004,2.02,1.2215,98.18875
273,bus,425,mixed,11.53,201,5.2,28.665,50.46875,57.65,1.0050000000000001,1.82,139.60875
88,bus,508,vegan,4.11,37,2.42,9.24,60.324999999999996,8.22,0.185,0.847,78.817
13,car_petrol,186,vegan,4.45,941,5.54,2.496,22.0875,8.9,4.705,1.939,40.1275
241,train,596,vegan,11.5,771,9.83,9.881,70.77499999999999,23.0,3.855,3.4405,110.9515
264,car_diesel,562,high_meat,4.03,187,6.27,45.144000000000005,66.7375,30.225,0.935,2.1945,145.23600000000002
52,bus,345,mixed,5.05,56,1.2,5.46,40.96875,25.25,0.28,0.42,72.37875000000001
91,bus,369,vegetarian,14.52,940,5.64,9.555,43.81875,43.56,4.7,1.9739999999999998,103.60775000000001
263,car_diesel,398,high_meat,5.32,19,1.3,44.973000000000006,47.262499999999996,39.900000000000006,0.095,0.455,132.68550000000002
34,car_diesel,278,high_meat,10.6,272,11.63,5.814,33.012499999999996,79.5,1.36,4.0705,123.75699999999999
205,bus,319,high_meat,14.72,118,2.4,21.525,37.88125,110.4,0.59,0.84,171.23625
80,bus,340,vegan,6.87,582,8.78,8.4,40.375,13.74,2.91,3.073,68.49799999999999
49,car_diesel,214,mixed,2.23,515,11.7,8.379000000000001,25.412499999999998,11.15,2.575,4.095,51.6115
1,bus,54,high_meat,5.17,220,10.09,0.105,6.4125,38.775,1.1,3.5315000000000003,49.924
53,car_petrol,428,vegetarian,12.8,525,8.69,10.176,50.824999999999996,38.400000000000006,2.625,3.0415,105.06750000000001
105,car_petrol,127,mixed,13.24,514,10.23,20.16,15.081249999999999,66.2,2.57,3.5805000000000007,107.59174999999999
259,car_diesel,459,vegetarian,11.99,727,11.8,44.289,54.506249999999994,35.97,3.6350000000000002,4.130000000000001,142.53024999999997
190,train,181,mixed,3.47,740,7.83,7.79,21.49375,17.35,3.7,2.7405,53.07425
217,car_diesel,91,vegetarian,12.34,335,7.15,37.107,10.80625,37.019999999999996,1.675,2.5025000000000004,89.11074999999998
43,car_diesel,138,vegan,13.94,697,7.91,7.353000000000001,16.3875,27.88,3.485,2.7685,57.874
